"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0D550","2019-09-16 00:00:00","1956.000","0.000","0.000","13.900","0.810","808.900","-99.000","5.000","-99.000","-99.000","-99.000","19.800","","13.100",""
"C0C630","2019-09-16 00:00:00","209.000","57.000","1.400","24.300","0.870","985.100","-99.000","17.000","-99.000","-99.000","-99.000","26.200","","22.800",""
"C0V790","2019-09-16 00:00:00","410.000","227.000","0.300","23.100","0.990","961.300","-99.000","8.000","-99.000","-99.000","-99.000","30.900","","23.000",""
"C0G860","2019-09-16 00:00:00","45.000","148.000","1.400","26.300","0.850","1000.200","-99.000","0.000","-99.000","-99.000","-99.000","32.400","","26.300",""
"C0F0A0","2019-09-16 00:00:00","3587.000","48.000","1.700","7.500","1.000","663.900","-99.000","1.500","-99.000","-99.000","-99.000","11.300","","2.000",""
"C0Z250","2019-09-16 00:00:00","1124.000","309.000","1.100","18.700","0.990","887.300","-99.000","12.500","-99.000","-99.000","-99.000","26.100","","17.300",""
"C0K440","2019-09-16 00:00:00","35.000","0.000","0.000","25.900","0.840","1003.200","-99.000","0.000","-99.000","-99.000","-99.000","31.800","","25.500",""
"C0T900","2019-09-16 00:00:00","160.000","0.000","0.000","24.300","0.830","988.700","-99.000","0.000","-99.000","-99.000","-99.000","30.500","","22.700",""
"C0F9V0","2019-09-16 00:00:00","525.000","184.000","1.500","22.800","0.910","948.000","-99.000","0.000","-99.000","-99.000","-99.000","30.000","","22.700",""
"C0UA20","2019-09-16 00:00:00","2619.000","298.000","0.500","8.300","1.000","-99.000","-99.000","5.000","-99.000","-99.000","-99.000","13.900","","8.100",""
"C0M850","2019-09-16 00:00:00","695.000","0.000","0.100","21.800","0.990","930.200","-99.000","8.000","-99.000","-99.000","-99.000","27.800","","20.800",""
"C0G790","2019-09-16 00:00:00","27.000","0.000","0.000","25.500","0.930","1005.300","-99.000","0.000","-99.000","-99.000","-99.000","33.500","","25.500",""
"C0C620","2019-09-16 00:00:00","19.000","89.000","1.200","25.600","0.890","1005.200","-99.000","12.500","-99.000","-99.000","-99.000","28.700","","23.800",""
"C0I360","2019-09-16 00:00:00","300.000","185.000","0.500","24.300","0.880","972.700","-99.000","0.000","-99.000","-99.000","-99.000","30.700","","24.300",""
"C0M810","2019-09-16 00:00:00","1354.000","7.000","0.400","18.300","0.990","862.600","-99.000","1.000","-99.000","-99.000","-99.000","22.400","","18.100",""
"C0AC80","2019-09-16 00:00:00","40.000","0.000","0.000","24.500","0.970","1003.900","-99.000","16.500","-99.000","-99.000","-99.000","27.700","","24.300",""
"CM0140","2019-09-16 00:00:00","26.000","43.000","1.200","28.000","0.740","1005.300","-99.000","37.500","-99.000","-99.000","-99.000","30.400","","24.500",""
"C0SA20","2019-09-16 00:00:00","857.000","0.000","0.000","21.100","0.910","914.600","-99.000","2.500","-99.000","-99.000","-99.000","24.700","","19.800",""
"C0K490","2019-09-16 00:00:00","91.000","172.000","1.300","25.100","0.900","996.500","-99.000","0.000","-99.000","-99.000","-99.000","31.900","","24.700",""
"C0V820","2019-09-16 00:00:00","441.000","196.000","0.500","22.900","0.990","960.500","-99.000","10.500","-99.000","-99.000","-99.000","29.900","","22.800",""
"C0S810","2019-09-16 00:00:00","65.000","342.000","1.800","25.400","0.880","1002.800","-99.000","1.000","-99.000","-99.000","-99.000","32.100","","23.900",""
